id,name
MN27,Chinatown
1,Manhattan
MN24,SoHo-TriBeCa-Civic Center-Little Italy
MN20,Murray Hill-Kips Bay
MN25,Battery Park City-Lower Manhattan
MN19,Turtle Bay-East Midtown
MN31,Lenox Hill-Roosevelt Island
MN17,Midtown-Midtown South
BK68,Fort Greene
3,Brooklyn
BK69,Clinton Hill
MN14,Lincoln Square
MN23,West Village
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN21,Gramercy
MN15,Clinton
MN28,Lower East Side
BK37,Park Slope-Gowanus
MN22,East Village
MN99,park-cemetery-etc-Manhattan
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MN50,Stuyvesant Town-Cooper Village
BK73,North Side-South Side
BK75,Bedford
BK99,park-cemetery-etc-Brooklyn
BK09,Brooklyn Heights-Cobble Hill
BK33,Carroll Gardens-Columbia Street-Red Hook
BK32,Sunset Park West
MN40,Upper East Side-Carnegie Hill
QN31,Hunters Point-Sunnyside-West Maspeth
4,Queens
QN68,Queensbridge-Ravenswood-Long Island City
BK76,Greenpoint
BK78,Bushwick South
BK61,Crown Heights North
BK90,East Williamsburg
BK72,Williamsburg
BK35,Stuyvesant Heights
MN12,Upper West Side
MN32,Yorkville
MN09,Morningside Heights
MN33,East Harlem South
BK64,Prospect Heights
MN11,Central Harlem South
MN34,East Harlem North
MN03,Central Harlem North-Polo Grounds
QN70,Astoria
QN71,Old Astoria
BK63,Crown Heights South
QN99,park-cemetery-etc-Queens
QN72,Steinway
BK60,Prospect Lefferts Gardens-Wingate
MN06,Manhattanville
BK77,Bushwick North
BK79,Ocean Hill
QN20,Ridgewood
MN36,Washington Heights South
BX34,Melrose South-Mott Haven North
2,Bronx
BX39,Mott Haven-Port Morris
MN04,Hamilton Heights
BX63,West Concourse
BX14,East Concourse-Concourse Village
BX26,Highbridge
MN35,Washington Heights North
BX01,Claremont-Bathgate
BX75,Crotona Park East
BX33,Longwood
BX27,Hunts Point
BX35,Morrisania-Melrose
BX99,park-cemetery-etc-Bronx
BX41,Mount Hope
