name,borough,neighborhood,neighborhood_id,borough_id
W 52 St & 11 Ave,Manhattan,Clinton,MN15,1.0
8 Ave & W 52 St,Manhattan,Clinton,MN15,1.0
9 Ave & W 45 St,Manhattan,Clinton,MN15,1.0
W 49 St & 8 Ave,Manhattan,Clinton,MN15,1.0
W 42 St & 8 Ave,Manhattan,Clinton,MN15,1.0
W 42 St & Dyer Ave,Manhattan,Clinton,MN15,1.0
W 45 St & 8 Ave,Manhattan,Clinton,MN15,1.0
W 53 St & 10 Ave,Manhattan,Clinton,MN15,1.0
W 43 St & 10 Ave,Manhattan,Clinton,MN15,1.0
W 52 St & 9 Ave,Manhattan,Clinton,MN15,1.0
W 54 St & 9 Ave,Manhattan,Clinton,MN15,1.0
W 47 St & 10 Ave,Manhattan,Clinton,MN15,1.0
W 46 St & 11 Ave,Manhattan,Clinton,MN15,1.0
W 56 St & 10 Ave,Manhattan,Clinton,MN15,1.0
NYCBS Depot BAL - DYR,Manhattan,Clinton,MN15,1.0
W 50 St & 9 Ave,Manhattan,Clinton,MN15,1.0
6 Ave & W 33 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 49 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 58 St,Manhattan,Midtown-Midtown South,MN17,1.0
W 38 St & 8 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 44 St & 5 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 51 St,Manhattan,Midtown-Midtown South,MN17,1.0
W 41 St & 8 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 45 St & 6 Ave (OLD),Manhattan,Midtown-Midtown South,MN17,1.0
E 48 St & 5 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 41 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 53 St,Manhattan,Midtown-Midtown South,MN17,1.0
W 31 St & 7 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 27 St & 7 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 52 St & 5 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 55 St & 6 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 56 St,Manhattan,Midtown-Midtown South,MN17,1.0
W 52 St & 6 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 33 St & 7 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
E 33 St & 5 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 29 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 37 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 36 St,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 38 St,Manhattan,Midtown-Midtown South,MN17,1.0
W 43 St & 6 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
W 37 St & 5 Ave,Manhattan,Midtown-Midtown South,MN17,1.0
E 53 St & Madison Ave,Manhattan,Midtown-Midtown South,MN17,1.0
Grand Army Plaza & Central Park S,Manhattan,Midtown-Midtown South,MN17,1.0
Broadway & W 32 St,Manhattan,Midtown-Midtown South,MN17,1.0
5 Ave & E 29 St,Manhattan,Midtown-Midtown South,MN17,1.0
E 58 St & Madison Ave,Manhattan,Midtown-Midtown South,MN17,1.0
