,year,number_trips_from,ntacode,ntaname,centroid
0,2014,6261,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
1,2015,6847,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
2,2016,8554,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
3,2017,8858,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
4,2018,9163,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
5,2019,9431,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
6,2020,11055,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.99486984823821 40.695468712749474)
7,2015,15,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
8,2016,585,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
9,2017,1969,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
10,2018,3303,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
11,2019,3029,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
12,2020,4378,BK32,Sunset Park West,POINT (-74.01123493817835 40.652382089571994)
13,2014,2380,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
14,2015,2624,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
15,2016,4952,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
16,2017,8037,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
17,2018,8827,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
18,2019,9294,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
19,2020,10674,BK33,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.00389875435229 40.67877210703989)
20,2015,2031,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
21,2016,6447,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
22,2017,7420,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
23,2018,8160,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
24,2019,8490,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
25,2020,9628,BK35,Stuyvesant Heights,POINT (-73.93188843326524 40.68816877953876)
26,2014,3862,BK37,Park Slope-Gowanus,POINT (-73.98390217826697 40.6712287483673)
27,2015,4299,BK37,Park Slope-Gowanus,POINT (-73.98390217826697 40.6712287483673)
28,2016,6520,BK37,Park Slope-Gowanus,POINT (-73.98390217826697 40.6712287483673)
29,2017,9435,BK37,Park Slope-Gowanus,POINT (-73.98390217826697 40.6712287483673)
30,2018,10214,BK37,Park Slope-Gowanus,POINT (-73.98390217826697 40.6712287483673)
