Boro,HH,avg_traffic,avg_nb_measurements
Bronx,0,4961.232365145228,101.12863070539419
Bronx,1,3349.244813278008,101.12863070539419
Bronx,2,2477.2116182572613,101.12863070539419
Bronx,3,2179.933609958506,101.12863070539419
Bronx,4,2827.4771784232366,101.12448132780084
Bronx,5,4784.9377593361,101.11203319502074
Bronx,6,8678.390041493776,101.13278008298755
Bronx,7,12229.902040816327,99.71836734693878
Bronx,8,12895.882113821139,99.58943089430895
Bronx,9,12010.012295081968,100.41803278688525
Bronx,10,12062.888429752065,101.3099173553719
Bronx,11,12844.817427385891,101.60165975103735
Bronx,12,13437.09090909091,101.1198347107438
Bronx,13,14072.297520661157,101.11570247933884
Bronx,14,15271.190082644629,101.10743801652893
Bronx,15,16242.095041322315,101.0909090909091
Bronx,16,16643.962809917357,101.04545454545455
Bronx,17,16595.603305785124,101.03719008264463
Bronx,18,15692.520661157025,101.03719008264463
Bronx,19,13898.195020746887,101.2655601659751
Bronx,20,11741.0,101.26970954356847
Bronx,21,9909.298755186723,101.34439834024896
Bronx,22,8375.323651452281,101.34439834024896
Bronx,23,6673.460580912863,101.35684647302905
