Boro,HH,avg_traffic,avg_nb_measurements
Queens,0,6014.016891891892,131.8108108108108
Queens,1,4092.2905405405404,131.7972972972973
Queens,2,3003.679054054054,131.7972972972973
Queens,3,2674.0945945945946,131.79054054054055
Queens,4,3528.614864864865,131.80067567567568
Queens,5,6377.19191919192,131.3973063973064
Queens,6,11868.070945945947,131.86824324324326
Queens,7,15813.805369127516,131.0268456375839
Queens,8,16899.489932885906,130.75503355704697
Queens,9,15668.31313131313,131.0942760942761
Queens,10,15364.441077441077,131.15824915824916
Queens,11,16031.047138047137,131.1919191919192
Queens,12,16779.94612794613,131.25252525252526
Queens,13,17493.579124579126,131.3872053872054
Queens,14,18877.912751677854,131.06040268456377
Queens,15,20005.38590604027,131.2281879194631
Queens,16,20504.590604026846,131.33221476510067
Queens,17,20601.805369127516,131.34563758389262
Queens,18,19551.25167785235,131.24161073825502
Queens,19,17399.989932885906,131.16778523489933
Queens,20,14469.147651006711,131.16107382550337
Queens,21,12127.68456375839,131.2013422818792
Queens,22,10357.335570469799,131.2718120805369
Queens,23,8194.325503355705,131.2751677852349
