Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,10698.961111111112,115.25
Queens,0,6163.150753768844,110.80904522613065
Brooklyn,0,5060.654639175258,142.17525773195877
Bronx,0,4331.406666666667,83.46666666666667
Staten Island,0,273.03937007874015,18.456692913385826
Manhattan,1,7696.882681564246,115.91061452513966
Queens,1,4049.7738693467336,110.8140703517588
Brooklyn,1,3496.3298969072166,142.4742268041237
Bronx,1,2841.1266666666666,83.46666666666667
Staten Island,1,163.9763779527559,18.456692913385826
Manhattan,2,5715.223463687151,115.93296089385476
Queens,2,2899.070351758794,110.8140703517588
Brooklyn,2,2557.257731958763,142.4742268041237
Bronx,2,2082.2533333333336,83.46666666666667
Staten Island,2,112.60629921259843,18.456692913385826
Manhattan,3,4857.972067039106,115.93296089385476
Queens,3,2575.5175879396984,110.8140703517588
Brooklyn,3,2257.541237113402,142.4742268041237
Bronx,3,1884.0733333333333,83.46666666666667
Staten Island,3,104.74803149606299,18.456692913385826
Manhattan,4,5339.229050279329,115.93296089385476
Queens,4,3525.899497487437,110.8140703517588
Brooklyn,4,2830.3505154639174,142.4536082474227
Bronx,4,2569.6266666666666,83.46666666666667
Staten Island,4,165.29921259842519,18.456692913385826
Manhattan,5,7792.513966480447,115.90502793296089
Queens,5,7015.236180904522,110.80904522613065
Brooklyn,5,5056.896907216495,142.27319587628867
Bronx,5,4822.873333333333,83.46666666666667
Staten Island,5,364.4173228346457,18.440944881889763
Manhattan,6,12127.553072625698,115.73743016759776
Queens,6,12108.115577889448,110.52763819095478
Brooklyn,6,8668.687179487179,141.3948717948718
Bronx,6,8169.76,83.44666666666667
Staten Island,6,799.3228346456693,18.165354330708663
Manhattan,7,16016.810055865923,115.69832402234637
Queens,7,15246.525252525253,110.96464646464646
Brooklyn,7,11477.177664974619,140.10152284263958
Bronx,7,10814.14,83.42
Staten Island,7,1232.752,18.376
Manhattan,8,17181.877094972067,115.83798882681565
Queens,8,16029.545454545454,110.64646464646465
Brooklyn,8,12126.469696969696,139.3080808080808
Bronx,8,10975.694805194806,81.15584415584415
Staten Island,8,1291.8015873015872,18.444444444444443
Manhattan,9,17033.145251396647,115.93854748603351
Queens,9,14936.665,109.465
Brooklyn,9,11718.125628140704,138.46231155778895
Bronx,9,10541.717105263158,82.32236842105263
Staten Island,9,1234.6587301587301,18.603174603174605
Manhattan,10,17177.726256983242,115.94413407821229
Queens,10,14804.959390862945,111.36040609137056
Brooklyn,10,11557.0,138.7286432160804
Bronx,10,10354.256578947368,82.13815789473684
Staten Island,10,1350.968,18.752
Manhattan,11,17413.698324022345,115.97765363128492
Queens,11,15165.358585858587,111.16666666666667
Brooklyn,11,12002.462311557789,138.9497487437186
Bronx,11,11010.701986754966,82.54304635761589
Staten Island,11,1481.448,18.752
Manhattan,12,17580.106145251397,115.89944134078212
Queens,12,15783.585858585859,111.55555555555556
Brooklyn,12,12516.70707070707,139.73232323232324
Bronx,12,11582.026845637583,83.58389261744966
Staten Island,12,1609.432,18.752
Manhattan,13,17981.28491620112,115.85474860335195
Queens,13,16539.747474747473,111.78282828282828
Brooklyn,13,13151.715736040609,140.43147208121826
Bronx,13,11990.55033557047,83.75838926174497
Staten Island,13,1651.056,18.752
Manhattan,14,18841.4469273743,115.84357541899442
Queens,14,17796.560606060608,111.93939393939394
Brooklyn,14,14001.928934010153,140.4517766497462
Bronx,14,12955.060402684563,83.78523489932886
Staten Island,14,1771.88,18.752
Manhattan,15,19717.368715083798,115.84357541899442
Queens,15,18540.502512562813,111.37185929648241
Brooklyn,15,14698.10152284264,140.42131979695432
Bronx,15,13395.536912751679,83.78523489932886
Staten Island,15,1804.056,18.752
Manhattan,16,19769.173184357544,115.84357541899442
Queens,16,18628.447236180906,111.16582914572864
Brooklyn,16,14938.137055837564,140.40609137055839
Bronx,16,13653.221476510067,83.78523489932886
Staten Island,16,1775.704,18.752
Manhattan,17,19938.49162011173,115.79888268156425
Queens,17,18459.819095477385,111.11557788944724
Brooklyn,17,14780.375634517766,140.40609137055839
Bronx,17,13516.96644295302,83.78523489932886
Staten Island,17,1782.72,18.752
Manhattan,18,19910.206703910615,115.75977653631286
Queens,18,17521.80904522613,111.11557788944724
Brooklyn,18,13912.888324873096,140.43654822335026
Bronx,18,12847.147651006711,83.78523489932886
Staten Island,18,1629.496,18.752
Manhattan,19,19215.12849162011,115.75418994413408
Queens,19,16081.718592964824,111.11557788944724
Brooklyn,19,12322.243654822336,140.44670050761422
Bronx,19,11492.704697986577,83.78523489932886
Staten Island,19,1393.984,18.752
Manhattan,20,17651.86033519553,115.75418994413408
Queens,20,13999.402010050251,111.11557788944724
Brooklyn,20,10555.685279187817,140.44670050761422
Bronx,20,10007.21476510067,83.78523489932886
Staten Island,20,1103.496,18.752
Manhattan,21,16640.854748603353,115.75418994413408
Queens,21,12045.809045226131,111.11557788944724
Brooklyn,21,9083.086294416244,140.4263959390863
Bronx,21,8607.174496644295,83.78523489932886
Staten Island,21,842.52,18.752
Manhattan,22,15760.446927374302,115.75418994413408
Queens,22,10452.48743718593,111.09547738693468
Brooklyn,22,7838.02538071066,140.4263959390863
Bronx,22,7495.302013422819,83.78523489932886
Staten Island,22,611.064,18.752
Manhattan,23,13772.150837988827,115.76536312849161
Queens,23,8502.929648241206,111.09547738693468
Brooklyn,23,6577.619289340101,140.3502538071066
Bronx,23,6062.154362416108,83.78523489932886
Staten Island,23,454.872,18.752
