Boro,HH,avg_traffic,avg_nb_measurements
Staten Island,0,273.03937007874015,18.456692913385826
Staten Island,1,163.9763779527559,18.456692913385826
Staten Island,2,112.60629921259843,18.456692913385826
Staten Island,3,104.74803149606299,18.456692913385826
Staten Island,4,165.29921259842519,18.456692913385826
Staten Island,5,364.4173228346457,18.440944881889763
Staten Island,6,799.3228346456693,18.165354330708663
Staten Island,7,1232.752,18.376
Staten Island,8,1291.8015873015872,18.444444444444443
Staten Island,9,1234.6587301587301,18.603174603174605
Staten Island,10,1350.968,18.752
Staten Island,11,1481.448,18.752
Staten Island,12,1609.432,18.752
Staten Island,13,1651.056,18.752
Staten Island,14,1771.88,18.752
Staten Island,15,1804.056,18.752
Staten Island,16,1775.704,18.752
Staten Island,17,1782.72,18.752
Staten Island,18,1629.496,18.752
Staten Island,19,1393.984,18.752
Staten Island,20,1103.496,18.752
Staten Island,21,842.52,18.752
Staten Island,22,611.064,18.752
Staten Island,23,454.872,18.752
