Boro,HH,avg_traffic,avg_nb_measurements
Brooklyn,0,5170.947154471544,106.45934959349593
Brooklyn,1,3611.308943089431,106.3780487804878
Brooklyn,2,2639.7642276422766,106.26016260162602
Brooklyn,3,2236.9349593495936,106.28048780487805
Brooklyn,4,2776.130081300813,106.28861788617886
Brooklyn,5,4652.8421052631575,105.8582995951417
Brooklyn,6,7797.307692307692,105.61538461538461
Brooklyn,7,10531.384615384615,105.61538461538461
Brooklyn,8,11680.391129032258,105.27016129032258
Brooklyn,9,11648.056680161942,105.77327935222672
Brooklyn,10,11627.04858299595,105.74493927125506
Brooklyn,11,12091.288617886179,106.28455284552845
Brooklyn,12,12548.39837398374,106.1951219512195
Brooklyn,13,12934.735772357724,106.1910569105691
Brooklyn,14,13531.833333333334,106.1910569105691
Brooklyn,15,14150.792682926829,106.1910569105691
Brooklyn,16,14228.471544715447,106.1910569105691
Brooklyn,17,14204.31300813008,106.1910569105691
Brooklyn,18,13476.540650406505,106.1910569105691
Brooklyn,19,12245.837398373984,106.1910569105691
Brooklyn,20,10758.91056910569,106.1910569105691
Brooklyn,21,9372.30487804878,106.1829268292683
Brooklyn,22,8188.735772357723,106.17073170731707
Brooklyn,23,6794.40650406504,106.15853658536585
