Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,9582.608695652174,93.3913043478261
Manhattan,1,6427.565217391304,93.3913043478261
Manhattan,2,5025.0,93.3913043478261
Manhattan,3,4560.478260869565,93.3913043478261
Manhattan,4,5988.434782608696,93.3913043478261
Manhattan,5,11429.608695652174,93.3913043478261
Manhattan,6,17829.956521739132,93.3913043478261
Manhattan,7,21785.521739130436,93.3913043478261
Manhattan,8,23037.347826086956,93.3913043478261
Manhattan,9,22177.17391304348,93.3913043478261
Manhattan,10,22064.347826086956,93.3913043478261
Manhattan,11,22572.565217391304,93.3913043478261
Manhattan,12,23340.17391304348,93.3913043478261
Manhattan,13,24703.956521739132,93.3913043478261
Manhattan,14,26302.043478260868,93.3913043478261
Manhattan,15,27532.869565217392,93.3913043478261
Manhattan,16,27444.043478260868,93.3913043478261
Manhattan,17,27223.391304347828,93.3913043478261
Manhattan,18,25719.782608695652,93.3913043478261
Manhattan,19,23519.82608695652,93.3913043478261
Manhattan,20,20354.0,93.3913043478261
Manhattan,21,17351.391304347828,93.3913043478261
Manhattan,22,15515.95652173913,93.3913043478261
Manhattan,23,13539.304347826086,93.3913043478261
