Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,9214.585317460318,80.76190476190476
Bronx,1,7282.537931034482,106.74712643678161
Queens,1,2397.808988764045,28.831460674157302
Brooklyn,1,2195.0188284518827,29.759414225941423
Staten Island,2,4274.255905511811,38.34251968503937
Bronx,2,3500.114814814815,65.42037037037036
Brooklyn,2,3411.1647286821703,66.48255813953489
Manhattan,2,1285.4052287581699,30.294117647058822
Queens,2,920.9864864864865,17.353281853281853
Brooklyn,3,19397.91961852861,191.1634877384196
Manhattan,3,13768.526395173454,60.374057315233784
Bronx,3,6813.791788856305,91.04105571847508
Queens,3,3195.193083573487,42.92795389048992
Staten Island,3,1745.3689839572191,8.561497326203208
Queens,4,13716.234722222222,135.8986111111111
Manhattan,4,12955.510851419032,98.70951585976627
Brooklyn,4,8820.009722222223,103.05694444444444
Bronx,4,4386.592705167173,59.65501519756839
Manhattan,5,21674.512129380055,181.58355795148248
Queens,5,19042.728494623654,105.37231182795699
Bronx,5,14837.143626570916,63.60682226211849
Brooklyn,5,11485.326612903225,52.149193548387096
Staten Island,5,1351.8456790123457,17.814814814814813
Queens,6,38422.03703703704,296.2191358024691
Bronx,6,24511.93831168831,165.0974025974026
Manhattan,6,18827.319444444445,124.9645061728395
Brooklyn,6,13610.956944444444,164.77916666666667
Staten Island,6,629.9186046511628,12.232558139534884
Manhattan,7,4897.558333333333,46.57083333333333
Queens,7,2927.964467005076,55.08798646362098
Bronx,7,1865.2449799196788,15.815261044176706
Brooklyn,7,1375.3188775510205,32.39540816326531
Staten Island,7,1239.2755102040817,29.790816326530614
Manhattan,8,16801.064935064936,160.17857142857142
Brooklyn,8,3437.702614379085,48.919934640522875
Staten Island,8,3046.041825095057,22.920152091254753
Queens,8,2235.5173611111113,51.140625
Bronx,8,847.5342019543974,10.035830618892508
Bronx,9,22689.98046875,158.427734375
Manhattan,9,15038.52422907489,90.84434654919237
Staten Island,9,13104.162037037036,139.17592592592592
Brooklyn,9,8205.25,89.69270833333333
Queens,9,5028.719444444445,105.55555555555556
Manhattan,10,53925.89112903226,290.68951612903226
Queens,10,33984.36962365591,320.78494623655916
Brooklyn,10,18151.00806451613,172.997311827957
Staten Island,10,10394.670977011494,105.91522988505747
Bronx,10,8800.281666666666,124.32
Manhattan,11,26948.623106060608,149.67613636363637
Queens,11,15077.867256637168,237.63185840707965
Bronx,11,12326.786231884058,185.2427536231884
Brooklyn,11,7233.680140597539,95.25131810193322
Staten Island,11,5973.733333333334,66.4
Staten Island,12,2006.9774436090227,22.086466165413533
Queens,12,1769.720461095101,32.95965417867435
Brooklyn,12,1603.9323308270677,46.954887218045116
Bronx,12,1070.7916666666667,11.822916666666666
