Boro,M,avg_traffic,avg_nb_measurements
Queens,1,15924.163265306122,157.69387755102042
Queens,2,920.6483253588517,20.672248803827753
Queens,3,9740.272237196765,125.92722371967655
Queens,4,11179.555555555555,87.20694444444445
Queens,5,12357.631884057972,109.02608695652174
Queens,6,36409.51014492754,244.4695652173913
Queens,7,3396.827319587629,25.75
Queens,8,1415.3216783216783,32.71095571095571
Queens,9,14859.599033816425,138.63607085346214
Queens,10,25105.735215053763,140.63844086021504
Queens,11,10222.286115007013,79.94810659186535
Queens,12,901.4025,30.1125
