Boro,M,avg_traffic,avg_nb_measurements
Staten Island,1,4988.85,62.279545454545456
Staten Island,2,2408.2210065645513,34.87964989059081
Staten Island,3,3145.8931297709923,23.0412213740458
Staten Island,4,2123.139293139293,40.43035343035343
Staten Island,5,7586.144086021505,85.33118279569892
Staten Island,6,5750.3050847457625,61.847457627118644
Staten Island,7,516.6,23.0
Staten Island,8,1134.319526627219,21.005917159763314
Staten Island,9,1251.4270833333333,20.0
Staten Island,10,3653.674019607843,51.28186274509804
Staten Island,11,13461.5625,45.5
